filename,link
14099.jpg,http://assets.myntassets.com/v1/images/style/properties/1c2d217895f9a1bf02a20b09084491da_images.jpg
37934.jpg,http://assets.myntassets.com/v1/images/style/properties/1d55630904e97e224fdb47b8ee554351_images.jpg
58495.jpg,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Printed-White-Dress_bfb2465489bfda0db48b2139c811ba87_images.jpg
40270.jpg,http://assets.myntassets.com/v1/images/style/properties/06602b68494ff8bdaf190c60191ff51f_images.jpg
35266.jpg,http://assets.myntassets.com/v1/images/style/properties/4e383718791fdd7ac45f6657e8c23460_images.jpg
29841.jpg,http://assets.myntassets.com/v1/images/style/properties/c882869230368f901ee1e64786e7644f_images.jpg
8952.jpg,http://assets.myntassets.com/v1/images/style/properties/4f23072dc2f9322cdeeae353b55edc1a_images.jpg
12303.jpg,http://assets.myntassets.com/v1/images/style/properties/a2da7fdda6f5436942eacb642a55747a_images.jpg
6599.jpg,http://assets.myntassets.com/v1/images/style/properties/328703e0437a880df3bbb13d4cc0c2b9_images.jpg
9593.jpg,http://assets.myntassets.com/v1/images/style/properties/8f46e492dc642e344a669976ad2f6966_images.jpg
42659.jpg,http://assets.myntassets.com/v1/images/style/properties/00fbf7fbdbb0b414343ed5d5a35df5b5_images.jpg
18614.jpg,http://assets.myntassets.com/v1/images/style/properties/8c623bd014dbf112c787e226cc82988c_images.jpg
33745.jpg,http://assets.myntassets.com/v1/images/style/properties/e30616c3e608396313f812b814eb05b8_images.jpg
19787.jpg,http://assets.myntassets.com/v1/images/style/properties/366c42c882f82d843382e94ed60959b5_images.jpg
34299.jpg,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Women-Pink-Tussar-Dupatta_be76773840a234514fe723d1df281a8a_images.jpg
50657.jpg,http://assets.myntassets.com/v1/images/style/properties/fef18b7579aeb63556443124d4b6ffed_images.jpg
57953.jpg,http://assets.myntassets.com/v1/images/style/properties/Prafful-Multi-Coloured-Sari_82873a07c90007f4590bba0fe9e057b9_images.jpg
14743.jpg,http://assets.myntassets.com/v1/images/style/properties/82df7cbabe633f9a6d9dedd8e4a11454_images.jpg
54485.jpg,http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Pack-of-2-Briefs_bb7c6e4d58d0dbc987518becfb9230df_images.jpg
3126.jpg,http://assets.myntassets.com/v1/images/style/properties/53908f1f8c34274abe3699c5d76ab8b7_images.jpg
17548.jpg,http://assets.myntassets.com/v1/images/style/properties/e2918a48054d55dc9fe012c86a99ed87_images.jpg
9466.jpg,http://assets.myntassets.com/v1/images/style/properties/5620e44ee77d4504b243768a130279ef_images.jpg
42210.jpg,http://assets.myntassets.com/v1/images/style/properties/fa80fd520f17876fc3f1e76f47e2e63a_images.jpg
21148.jpg,http://assets.myntassets.com/v1/images/style/properties/sOliver-Women-Grey-Top_f5f9921588c9b6e3aefafea3f1aae82e_images.jpg
5884.jpg,http://assets.myntassets.com/v1/images/style/properties/b3f4145a3ea2c1ca5663b3cb003bf46d_images.jpg
43492.jpg,http://assets.myntassets.com/v1/images/style/properties/b1d53e9c0d085999bd5daf60e8417652_images.jpg
6794.jpg,http://assets.myntassets.com/v1/images/style/properties/ac940e6cb3a1505d0f90095ac15806de_images.jpg
5565.jpg,http://assets.myntassets.com/v1/images/style/properties/4ff49414f97c8d51811c2c13a757a56e_images.jpg
9420.jpg,http://assets.myntassets.com/v1/images/style/properties/870b903622093575e2ba5a5bf42489f5_images.jpg
27098.jpg,http://assets.myntassets.com/v1/images/style/properties/cbfb3f99cee496a332616fccf7699e13_images.jpg
20958.jpg,http://assets.myntassets.com/v1/images/style/properties/011fec3d386e5fc56f6f61820cb3c5e7_images.jpg
53318.jpg,http://assets.myntassets.com/v1/images/style/properties/d19d444d499024f65f1ae11270c18e39_images.jpg
21146.jpg,http://assets.myntassets.com/v1/images/style/properties/b3e12d957bbeaacce59892edb56684e5_images.jpg
50442.jpg,http://assets.myntassets.com/v1/images/style/properties/404b545052a41d946b05e5d10236dcb1_images.jpg
17189.jpg,http://assets.myntassets.com/v1/images/style/properties/7cea77a982c7d4b26f56ad81af895468_images.jpg
40432.jpg,http://assets.myntassets.com/v1/images/style/properties/51e2d26dd67eb4be6132f7a02cab4e74_images.jpg
43525.jpg,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-Cream-Leggings_ef5c9b49fd14830aa8e9efbcd9448b09_images.jpg
41346.jpg,http://assets.myntassets.com/v1/images/style/properties/Wrangler-Men-Navy-Blue-Jeans_cb3a64b050a8342cb5275774c5eab9bc_images.jpg
30898.jpg,http://assets.myntassets.com/v1/images/style/properties/a5dc8be56a87351d3491d91055b34dc4_images.jpg
39830.jpg,http://assets.myntassets.com/v1/images/style/properties/c8a5e7314bab3b9557c09077fcd28112_images.jpg
34959.jpg,http://assets.myntassets.com/v1/images/style/properties/352792eb57e7f8b226db95c40c5c06f8_images.jpg
33507.jpg,http://assets.myntassets.com/v1/images/style/properties/e6a8460a3e2f6c07313ed504eef442fe_images.jpg
26260.jpg,http://assets.myntassets.com/v1/images/style/properties/f3b0c8f80607c34d792ee1faad5b2af6_images.jpg
53314.jpg,http://assets.myntassets.com/v1/images/style/properties/3248542c67cfe40d9a1f87a478aecc6c_images.jpg
34274.jpg,http://assets.myntassets.com/v1/images/style/properties/63d81ff8421fa2b130a1a0f139f1ef34_images.jpg
47030.jpg,http://assets.myntassets.com/v1/images/style/properties/7c1b062ed566e98556a0ebae8d5596b6_images.jpg
30639.jpg,http://assets.myntassets.com/v1/images/style/properties/33d857e153bb1a4bb46e742d7446949e_images.jpg
30480.jpg,http://assets.myntassets.com/v1/images/style/properties/9c477179c4f9896319e42076dd76cbd7_images.jpg
16330.jpg,http://assets.myntassets.com/v1/images/style/properties/608ccc76dafc3fd94957b34df6688a4b_images.jpg
14088.jpg,http://assets.myntassets.com/v1/images/style/properties/112206fe6fbe6fee10b5cf1914d5841f_images.jpg
